[11-Jul-2023 10:57:49 UTC] PHP Notice:  Function is_embed was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-includes\functions.php on line 5865
[11-Jul-2023 10:57:49 UTC] PHP Notice:  Function is_search was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-includes\functions.php on line 5865
[11-Jul-2023 11:01:22 UTC] PHP Parse error:  syntax error, unexpected identifier "curl_setopt" in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-content\plugins\tripadvisor-plugin\tripadvisor-plugin.php on line 58
[11-Jul-2023 11:01:22 UTC] PHP Notice:  Function is_embed was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-includes\functions.php on line 5865
[11-Jul-2023 11:01:22 UTC] PHP Notice:  Function is_search was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-includes\functions.php on line 5865
[11-Jul-2023 11:01:22 UTC] PHP Parse error:  syntax error, unexpected identifier "curl_setopt" in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-content\plugins\tripadvisor-plugin\tripadvisor-plugin.php on line 58
[11-Jul-2023 11:01:22 UTC] PHP Notice:  Function is_embed was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-includes\functions.php on line 5865
[11-Jul-2023 11:01:22 UTC] PHP Notice:  Function is_search was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-includes\functions.php on line 5865
[11-Jul-2023 11:01:23 UTC] PHP Parse error:  syntax error, unexpected identifier "curl_setopt" in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-content\plugins\tripadvisor-plugin\tripadvisor-plugin.php on line 58
[11-Jul-2023 11:01:23 UTC] PHP Notice:  Function is_embed was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-includes\functions.php on line 5865
[11-Jul-2023 11:01:23 UTC] PHP Notice:  Function is_search was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-includes\functions.php on line 5865
[11-Jul-2023 11:01:23 UTC] PHP Parse error:  syntax error, unexpected identifier "curl_setopt" in C:\Users\odyss\Local Sites\tripadvisorreviewpage\app\public\wp-content\plugins\tripadvisor-plugin\tripadvisor-plugin.php on line 58
